date,sanctioned,fulltime
Apr 1 2010,42914,41118
Dec 23 2010,43222,
Oct 7 2011,54873,
Nov 10 2015,54901,
Dec 24 2015,55066,
Jan 18 2016,64093,
Mar 28 2016,64263,
Aug 1 2017,65357,
Aug 17 2017,66736,38926
